3,0.00,PNumber:12312123,Gender:asd,Age:asdas
1,35.50,5.36,249.06,0.00
1,35.54,5.36,244.27,0.00
1,35.56,5.36,242.21,0.00
1,35.58,5.36,240.09,0.00
1,35.61,5.36,236.09,0.00
1,35.63,5.26,234.00,0.00
1,35.66,4.83,229.95,0.00
1,35.69,3.24,226.04,0.00
1,35.71,1.95,224.40,0.00
1,35.73,0.21,223.30,0.00
1,35.76,356.43,222.20,0.00
1,35.78,354.35,222.06,0.00
1,35.81,350.36,222.06,0.00
1,35.84,346.33,222.38,0.00
1,35.86,344.57,222.89,0.00
1,35.89,341.01,224.17,0.00
1,35.91,340.63,224.55,0.00
1,36.09,341.79,220.22,0.00
1,36.11,342.33,218.10,0.00
1,36.13,342.83,216.10,0.00
1,36.16,343.84,212.07,0.00
1,36.18,344.36,210.01,0.00
1,36.21,345.35,206.06,0.00
1,36.23,345.85,204.07,0.00
1,36.26,346.86,200.07,0.00
1,36.28,347.36,198.07,0.00
1,36.31,348.39,193.96,0.00
1,36.33,348.88,192.02,0.00
1,36.36,349.86,188.01,0.00
1,36.38,350.28,185.91,0.00
1,36.41,350.63,181.86,0.00
1,36.43,350.72,179.86,0.00
1,36.81,350.72,180.56,0.00
1,36.83,350.78,181.23,0.00
1,36.86,351.00,183.32,0.00
1,36.88,351.29,184.71,0.00
1,36.91,352.05,188.02,0.00
1,36.93,352.50,189.87,0.00
1,36.96,353.48,193.75,0.00
1,36.98,353.97,195.70,0.00
1,37.01,354.92,199.48,0.00
1,37.03,355.41,201.43,0.00
1,37.06,356.39,205.29,0.00
1,37.08,356.87,207.23,0.00
1,37.11,357.87,211.17,0.00
1,37.13,358.34,213.04,0.00
1,37.16,359.32,216.92,0.00
1,37.18,359.82,218.93,0.00
1,37.21,0.79,222.76,0.00
1,37.23,1.28,224.70,0.00
1,37.26,2.25,228.54,0.00
1,37.28,2.65,230.50,0.00
1,37.31,2.90,234.38,0.00
1,38.16,2.90,229.93,0.00
1,38.18,2.90,227.81,0.00
1,38.21,2.90,223.81,0.00
1,38.23,2.90,221.76,0.00
1,38.26,2.90,217.59,0.00
1,38.28,2.90,215.56,0.00
1,38.31,2.90,211.44,0.00
1,38.33,2.90,209.45,0.00
1,38.36,2.90,205.39,0.00
1,38.38,2.90,203.28,0.00
1,38.41,2.90,199.25,0.00
1,38.43,2.90,197.21,0.00
1,38.46,2.90,193.12,0.00
1,38.48,2.90,191.07,0.00
1,38.51,2.90,186.93,0.00
1,38.53,2.90,184.96,0.00
1,38.56,2.90,180.88,0.00
1,38.58,2.90,178.77,0.00
1,38.61,2.90,174.72,0.00
1,38.63,2.90,172.68,0.00
1,38.66,2.90,170.58,0.00
1,38.81,2.90,171.97,0.00
1,38.83,2.90,173.74,0.00
1,38.86,2.90,177.84,0.00
1,38.88,2.90,179.87,0.00
1,38.91,2.90,184.03,0.00
1,38.93,2.90,186.01,0.00
1,38.96,2.90,190.12,0.00
1,38.98,2.90,192.21,0.00
1,39.01,2.90,196.23,0.00
1,39.03,2.90,198.28,0.00
1,39.06,2.90,202.43,0.00
1,39.08,2.90,204.40,0.00
1,39.11,2.90,208.54,0.00
1,39.13,2.90,210.51,0.00
1,39.16,2.90,214.60,0.00
1,39.18,2.90,216.71,0.00
1,39.21,2.90,220.73,0.00
1,39.23,2.90,222.77,0.00
1,39.26,2.90,226.85,0.00
1,39.28,2.90,228.89,0.00
1,39.31,2.90,233.05,0.00
1,39.33,2.90,234.66,0.00
1,39.71,0.58,236.74,0.00
1,39.73,359.19,237.91,0.00
1,39.76,356.49,240.50,0.00
1,39.78,355.17,241.85,0.00
1,39.81,352.65,244.47,0.00
1,39.83,351.38,245.85,0.00
1,39.86,348.89,248.60,0.00
1,39.88,348.00,249.91,0.00
1,39.91,347.43,251.08,0.00
1,40.26,347.76,250.69,0.00
1,40.28,348.43,249.91,0.00
1,40.31,350.78,247.73,0.00
1,40.33,352.03,246.62,0.00
1,40.36,354.58,244.27,0.00
1,40.38,355.72,243.06,0.00
1,40.41,356.39,242.00,0.00
1,40.93,356.39,241.28,0.00
1,40.96,356.39,237.16,0.00
1,40.98,356.39,235.06,0.00
1,41.01,356.39,231.03,0.00
1,41.03,356.39,229.00,0.00
1,41.06,356.39,224.89,0.00
1,41.08,356.39,222.87,0.00
1,41.11,356.39,218.69,0.00
1,41.13,356.39,216.72,0.00
1,41.16,356.39,212.64,0.00
1,41.18,356.39,210.52,0.00
1,41.21,356.39,206.53,0.00
1,41.23,356.39,204.49,0.00
1,41.26,356.39,200.40,0.00
1,41.28,356.39,198.36,0.00
1,41.31,356.39,194.20,0.00
1,41.33,356.39,192.23,0.00
1,41.36,356.39,188.14,0.00
1,41.38,356.39,186.04,0.00
1,41.41,356.39,182.02,0.00
1,41.43,356.39,179.98,0.00
1,41.46,356.39,175.90,0.00
1,41.48,356.39,173.85,0.00
1,41.51,356.39,169.71,0.00
1,41.53,356.39,167.75,0.00
1,41.56,356.39,164.12,0.00
1,41.58,356.39,162.02,0.00
1,41.61,356.39,157.73,0.00
1,41.63,356.39,155.66,0.00
1,41.66,356.39,151.79,0.00
1,41.68,356.39,149.76,0.00
1,41.71,356.39,145.75,0.00
1,41.73,356.39,143.78,0.00
1,41.76,356.39,139.41,0.00
1,41.78,356.39,137.27,0.00
1,41.81,356.39,133.26,0.00
1,41.83,356.39,131.25,0.00
1,41.86,356.39,127.15,0.00
1,41.88,356.39,125.11,0.00
1,41.91,356.39,120.95,0.00
1,41.93,356.39,118.92,0.00
1,41.96,356.39,114.97,0.00
1,42.73,356.62,114.23,0.00
1,42.76,357.47,112.73,0.00
1,42.78,357.97,111.72,0.00
1,42.81,358.95,109.28,0.00
1,42.83,359.46,107.62,0.00
1,42.86,0.44,104.00,0.00
1,42.88,0.94,101.95,0.00
1,42.91,1.91,97.95,0.00
1,42.93,2.28,96.01,0.00
1,42.96,2.37,91.95,0.00
1,43.36,2.37,95.79,0.00
1,43.38,2.37,97.89,0.00
1,43.41,2.37,101.91,0.00
1,43.43,2.37,104.01,0.00
1,43.46,2.37,108.06,0.00
1,43.48,2.37,110.26,0.00
1,43.51,2.37,114.27,0.00
1,43.53,2.37,116.28,0.00
1,43.56,2.37,120.45,0.00
1,43.58,2.37,122.47,0.00
1,43.61,2.37,126.47,0.00
1,43.63,2.37,128.71,0.00
1,43.66,2.37,132.67,0.00
1,43.68,2.37,134.70,0.00
1,43.71,2.37,138.89,0.00
1,43.73,2.37,140.78,0.00
1,43.76,2.37,144.87,0.00
1,43.78,2.37,147.03,0.00
1,43.81,2.37,151.01,0.00
1,43.83,2.37,151.97,0.00
1,44.11,1.23,148.11,0.00
1,44.13,0.62,146.27,0.00
1,44.16,359.35,142.41,0.00
1,44.18,358.90,140.35,0.00
1,44.21,358.21,136.46,0.00
1,44.23,357.88,134.47,0.00
3,44.40,[EndPoint]PointAngle:(357.9, 134.5, 0.0),PointDir:(0.7, 0.0, -0.7)
4,44.40,762.82,30.82,547.09,0.00,0.00,0.00
3,44.40,[StartPoint]PlayerPos:(762.8, 30.8, 547.1),TargetName:Tent,TargetPos:(980.0, 30.9, 836.6)
0,44.43,762.82,30.82,547.09
1,44.43,357.88,0.00,0.00
1,44.66,357.88,359.78,0.00
1,44.68,357.88,358.68,0.00
1,44.72,357.88,353.81,0.00
1,44.73,357.88,352.51,0.00
1,44.75,357.88,350.55,0.00
1,44.79,357.88,346.21,0.00
1,44.80,357.88,343.98,0.00
1,44.83,357.88,340.33,0.00
1,44.85,357.88,338.16,0.00
1,44.88,357.88,334.46,0.00
1,44.92,357.88,330.33,0.00
1,44.93,357.88,328.35,0.00
1,44.97,357.88,324.24,0.00
1,44.98,357.88,322.15,0.00
1,45.02,357.88,318.12,0.00
1,45.03,357.88,316.07,0.00
1,45.07,357.88,312.70,0.00
3,45.22,[EndPoint]PointAngle:(357.9, 312.7, 0.0),PointDir:(-0.7, 0.0, 0.7)
4,45.22,980.04,30.91,836.62,0.00,0.00,0.00
3,45.22,[StartPoint]PlayerPos:(980.0, 30.9, 836.6),TargetName:Home,TargetPos:(559.8, 33.6, 666.0)
0,45.22,980.04,30.91,836.62
1,45.22,357.88,0.00,0.00
1,45.52,358.82,2.29,0.00
1,45.53,359.44,4.18,0.00
1,45.57,0.77,8.18,0.00
1,45.58,1.40,10.07,0.00
1,45.62,2.63,13.89,0.00
1,45.63,3.23,15.87,0.00
1,45.65,3.84,17.85,0.00
1,45.68,4.99,21.58,0.00
1,45.72,6.21,25.55,0.00
1,45.73,6.78,27.42,0.00
1,45.77,7.66,31.34,0.00
1,45.78,7.66,33.31,0.00
3,45.93,[EndPoint]PointAngle:(7.7, 33.2, 0.0),PointDir:(0.5, -0.1, 0.8)
4,45.93,559.80,33.56,665.99,0.00,0.00,0.00
3,45.93,[StartPoint]PlayerPos:(559.8, 33.6, 666.0),TargetName:Well,TargetPos:(560.6, 30.8, 1059.1)
0,45.93,559.80,33.56,665.99
1,45.93,7.66,0.00,0.00
1,46.33,7.66,0.52,0.00
1,46.35,7.66,1.56,0.00
1,46.39,7.66,5.30,0.00
1,46.41,7.66,8.84,0.00
1,46.43,7.66,10.88,0.00
1,46.46,7.66,14.96,0.00
1,46.48,7.66,17.00,0.00
1,46.51,7.66,21.12,0.00
1,46.53,7.66,23.10,0.00
1,46.56,7.66,27.17,0.00
1,46.58,7.66,29.29,0.00
1,46.62,7.66,33.43,0.00
1,46.63,7.66,35.51,0.00
1,46.67,7.66,39.52,0.00
1,46.68,7.66,41.48,0.00
1,46.71,7.66,45.63,0.00
1,46.73,7.66,47.72,0.00
1,46.77,7.66,51.77,0.00
1,46.78,7.66,53.79,0.00
1,46.82,7.66,57.89,0.00
1,46.83,7.66,60.01,0.00
1,46.86,7.66,63.97,0.00
1,46.88,7.66,65.92,0.00
1,46.91,7.66,70.07,0.00
1,46.93,7.66,72.05,0.00
1,46.96,7.66,73.74,0.00
3,47.08,[EndPoint]PointAngle:(7.7, 73.7, 0.0),PointDir:(1.0, -0.1, 0.3)
4,47.08,560.65,30.84,1059.12,0.00,0.00,0.00
3,47.08,[StartPoint]PlayerPos:(560.6, 30.8, 1059.1),TargetName:Column,TargetPos:(611.5, 40.6, 189.1)
0,47.08,560.65,30.84,1059.12
1,47.08,7.66,0.00,0.00
1,47.47,7.57,358.46,0.00
1,47.48,7.35,356.38,0.00
1,47.52,6.91,352.26,0.00
1,47.53,6.70,350.27,0.00
1,47.57,6.28,346.09,0.00
1,47.58,6.09,344.06,0.00
1,47.62,5.70,339.95,0.00
1,47.65,5.34,336.16,0.00
1,47.66,5.26,335.23,0.00
1,47.68,4.94,331.88,0.00
1,47.72,4.55,327.69,0.00
1,47.73,4.36,325.75,0.00
1,47.77,3.64,321.60,0.00
3,47.90,[EndPoint]PointAngle:(3.6, 321.6, 0.0),PointDir:(-0.6, -0.1, 0.8)
4,47.90,611.49,40.56,189.14,0.00,0.00,0.00
3,47.90,[StartPoint]PlayerPos:(611.5, 40.6, 189.1),TargetName:Truck,TargetPos:(838.5, 30.7, 1261.1)
0,47.93,611.49,40.56,189.14
1,47.93,3.64,0.00,0.00
1,48.10,3.64,359.58,0.00
1,48.14,3.64,356.13,0.00
1,48.15,3.64,354.22,0.00
1,48.19,3.64,350.06,0.00
1,48.20,3.64,348.07,0.00
1,48.24,3.64,344.00,0.00
1,48.25,3.64,341.86,0.00
1,48.29,3.64,337.86,0.00
1,48.30,3.64,335.78,0.00
1,48.34,3.64,331.72,0.00
1,48.35,3.64,329.65,0.00
1,48.39,3.64,325.51,0.00
1,48.40,3.64,323.52,0.00
1,48.44,3.64,319.44,0.00
1,48.45,3.64,317.34,0.00
1,48.49,3.64,313.34,0.00
1,48.50,3.64,311.53,0.00
1,48.53,3.64,307.45,0.00
1,48.55,3.64,305.39,0.00
1,48.59,3.64,301.24,0.00
1,48.60,3.64,299.25,0.00
1,48.63,3.64,295.16,0.00
1,48.65,3.64,293.05,0.00
1,48.68,3.64,289.05,0.00
1,48.70,3.64,287.00,0.00
1,48.74,3.64,282.84,0.00
1,48.75,3.64,280.88,0.00
1,48.79,3.64,276.73,0.00
1,48.80,3.64,274.75,0.00
1,48.83,3.64,270.69,0.00
1,48.85,3.64,268.56,0.00
1,48.89,3.64,264.47,0.00
1,48.90,3.64,262.72,0.00
3,49.07,[EndPoint]PointAngle:(3.6, 262.7, 0.0),PointDir:(-1.0, -0.1, -0.1)
1,49.41,3.64,264.01,0.00
1,49.43,3.64,265.24,0.00
1,49.46,3.64,268.24,0.00
1,49.48,3.64,269.85,0.00
1,49.52,3.64,273.52,0.00
1,49.53,3.64,275.48,0.00
1,49.56,3.64,279.52,0.00
1,49.58,3.64,281.81,0.00
1,49.61,3.64,285.64,0.00
1,49.63,3.64,287.73,0.00
1,49.66,3.64,291.77,0.00
1,49.68,3.64,293.85,0.00
1,49.72,3.64,298.01,0.00
1,49.73,3.64,299.85,0.00
1,49.76,3.64,301.64,0.00
1,59.96,3.69,303.17,0.00
1,59.98,3.75,304.81,0.00
1,60.01,4.11,308.59,0.00
1,60.03,4.38,310.61,0.00
1,60.06,5.05,314.64,0.00
1,60.08,5.47,316.69,0.00
1,60.11,6.72,320.61,0.00
1,60.13,7.70,322.48,0.00
1,60.16,10.35,325.12,0.00
1,60.18,11.97,325.33,0.00
1,60.21,15.27,325.33,0.00
1,60.23,17.09,325.02,0.00
1,60.26,20.75,323.42,0.00
1,60.28,22.64,322.33,0.00
1,60.31,26.22,320.13,0.00
1,60.33,28.01,318.98,0.00
1,60.36,31.48,316.67,0.00
1,60.38,33.21,315.47,0.00
1,60.41,36.73,313.03,0.00
1,60.43,38.38,311.86,0.00
1,60.46,41.83,309.36,0.00
1,60.48,43.46,308.16,0.00
1,60.51,46.93,305.62,0.00
1,60.53,48.55,304.44,0.00
1,60.56,51.95,301.94,0.00
1,60.58,53.64,300.71,0.00
1,60.61,57.12,298.16,0.00
1,60.63,58.77,296.95,0.00
1,60.66,60.00,294.37,0.00
1,60.68,60.00,293.14,0.00
1,60.71,60.00,290.51,0.00
1,60.73,60.00,289.27,0.00
1,60.76,60.00,286.64,0.00
1,60.78,60.00,285.29,0.00
1,60.81,60.00,282.72,0.00
1,60.83,60.00,281.42,0.00
1,60.86,60.00,278.73,0.00
1,60.88,60.00,277.36,0.00
1,60.91,60.00,274.61,0.00
1,60.93,60.00,273.28,0.00
1,60.97,60.00,271.52,0.00
1,61.01,59.61,270.89,0.00
1,61.03,58.92,270.89,0.00
1,61.06,56.38,270.89,0.00
1,61.08,54.61,271.00,0.00
1,61.11,50.80,271.63,0.00
1,61.13,48.77,272.04,0.00
1,61.16,44.78,272.97,0.00
1,61.18,42.75,273.51,0.00
1,61.21,38.83,274.55,0.00
1,61.23,36.85,275.07,0.00
1,61.26,32.90,276.17,0.00
1,61.28,30.89,276.73,0.00
1,61.31,26.97,277.82,0.00
1,61.33,24.97,278.38,0.00
1,61.36,21.17,279.32,0.00
1,61.38,19.46,279.49,0.00
1,61.41,16.74,279.49,0.00
1,61.43,15.46,279.49,0.00
1,61.46,13.51,279.49,0.00
1,61.48,12.87,279.49,0.00
1,61.73,12.87,278.41,0.00
1,61.76,12.30,274.34,0.00
1,61.78,12.02,272.36,0.00
1,61.81,11.56,268.22,0.00
1,61.83,11.45,266.24,0.00
1,61.86,11.45,262.11,0.00
1,61.88,11.45,260.15,0.00
1,61.91,11.40,256.94,0.00
3,62.03,[TopDown]Player:(630.2, 834.6),Target:(762.8, 547.1)
1,62.43,11.40,257.78,0.00
1,62.46,11.40,260.65,0.00
1,62.48,11.40,262.73,0.00
1,62.51,11.40,266.79,0.00
1,62.53,11.46,268.85,0.00
1,62.56,11.93,272.96,0.00
1,62.58,12.26,274.98,0.00
1,62.61,12.96,279.04,0.00
1,62.63,13.37,281.09,0.00
1,62.66,14.18,285.14,0.00
1,62.68,14.59,287.22,0.00
1,62.71,15.39,291.26,0.00
1,62.73,15.81,293.34,0.00
1,62.76,16.63,297.44,0.00
1,62.78,17.04,299.46,0.00
1,62.81,17.86,303.51,0.00
1,62.83,18.28,305.59,0.00
1,62.86,19.10,309.62,0.00
1,62.88,19.52,311.70,0.00
1,62.91,20.35,315.75,0.00
1,62.93,20.77,317.83,0.00
1,62.96,21.52,321.94,0.00
1,62.98,21.86,323.96,0.00
1,63.01,22.33,328.12,0.00
1,63.03,22.39,330.10,0.00
1,63.06,22.39,332.16,0.00
3,63.20,[TopDown]Player:(941.4, 870.8),Target:(560.6, 1059.1)
1,63.53,21.31,330.29,0.00
