3,0.00,PNumber:999,Gender:,Age:
0,66.37,559.80,33.56,665.99
1,66.37,359.03,0.00,0.00
1,66.91,359.03,0.54,0.00
1,66.93,359.03,1.08,0.00
1,66.96,359.03,2.32,0.00
1,66.98,359.03,2.96,0.00
1,67.01,359.03,4.24,0.00
1,67.03,359.03,4.85,0.00
1,67.06,359.03,6.04,0.00
1,67.08,359.03,6.92,0.00
1,67.11,359.03,9.10,0.00
1,67.13,359.03,10.24,0.00
1,67.16,359.03,12.81,0.00
1,67.18,359.03,14.32,0.00
1,67.21,359.03,17.47,0.00
1,67.23,359.03,19.44,0.00
1,67.26,359.03,23.52,0.00
1,67.28,359.03,25.62,0.00
1,67.31,359.03,29.64,0.00
1,67.33,359.03,31.69,0.00
1,67.36,359.03,35.76,0.00
1,67.38,359.03,37.46,0.00
1,67.41,359.03,38.87,0.00
1,67.66,359.03,41.18,0.00
1,67.68,359.03,42.78,0.00
1,67.71,359.03,46.22,0.00
1,67.73,359.03,48.27,0.00
1,67.76,359.03,52.37,0.00
1,67.78,359.03,54.38,0.00
1,67.81,359.03,58.56,0.00
1,67.83,359.03,60.55,0.00
1,67.86,359.03,64.63,0.00
1,67.88,359.03,66.75,0.00
1,67.91,359.03,70.76,0.00
1,67.93,359.03,72.81,0.00
1,67.96,359.03,76.91,0.00
1,67.98,359.03,79.00,0.00
1,68.02,359.03,83.18,0.00
1,68.03,359.03,85.12,0.00
1,68.06,359.03,89.22,0.00
1,68.08,359.03,91.35,0.00
1,68.11,359.03,95.37,0.00
1,68.13,359.03,97.43,0.00
1,68.16,359.03,101.50,0.00
1,68.18,359.03,103.54,0.00
1,68.22,359.03,107.71,0.00
1,68.23,359.03,109.67,0.00
1,68.26,359.03,113.74,0.00
1,68.28,359.03,115.87,0.00
1,68.31,359.03,119.88,0.00
1,68.33,359.03,121.95,0.00
1,68.37,359.03,126.04,0.00
1,68.38,359.03,128.07,0.00
1,68.42,359.03,132.24,0.00
1,68.43,359.03,134.19,0.00
1,68.46,359.03,138.27,0.00
1,68.48,359.03,140.42,0.00
1,68.52,359.03,144.46,0.00
1,68.53,359.03,146.50,0.00
1,68.57,359.03,150.56,0.00
1,68.58,359.03,152.59,0.00
1,68.62,359.03,156.78,0.00
1,68.63,359.03,158.74,0.00
1,68.67,359.03,162.83,0.00
1,68.68,359.03,165.02,0.00
1,68.72,359.03,168.58,0.00
1,68.73,359.03,169.65,0.00
3,69.08,[EndPoint]PointAngle:(359.0, 169.9, 0.0),PointDir:(0.2, 0.0, -1.0)
4,69.08,762.82,30.82,547.09,0.00,0.00,0.00
3,69.08,[StartPoint]PlayerPos:(762.8, 30.8, 547.1),TargetName:Tent,TargetPos:(980.0, 30.9, 836.6)
0,69.08,762.82,30.82,547.09
1,69.08,359.03,0.00,0.00
1,70.92,359.03,359.97,0.00
3,71.08,[EndPoint]PointAngle:(359.0, 359.7, 0.0),PointDir:(0.0, 0.0, 1.0)
1,116.89,0.19,357.08,0.00
1,116.90,1.13,355.18,0.00
1,116.94,2.95,351.50,0.00
1,116.95,3.87,349.64,0.00
1,116.99,5.90,345.54,0.00
1,117.01,6.86,343.59,0.00
1,117.04,8.38,340.54,0.00
1,117.05,9.32,338.64,0.00
1,117.09,11.18,334.89,0.00
1,117.10,12.15,332.92,0.00
1,117.14,14.19,328.82,0.00
1,117.16,15.00,326.97,0.00
